0,1,1,0,0,1000
1,1,1,0,0,1500
1,1,2,0,1,1200
1,1,1,0,0,1000
1,1,3,1,1,1200
1,1,1,0,0,1200
1,2,3,1,2,1100
2,1,2,1,1,750
3,3,3,4,1,1500
1,3,4,1,1,1500
1,1,2,0,0,750
2,2,3,3,1,1200
4,1,3,1,1,600
1,1,1,0,0,1100
2,2,3,1,1,850
1,2,3,1,1,750
3,2,3,1,1,1150
1,2,3,1,1,1300
3,3,5,4,1,2800
1,2,3,1,2,1050
3,2,3,2,1,850
3,2,3,2,1,1200
5,1,2,1,1,600
1,2,3,0,2,1000
1,2,3,1,2,900
0,3,4,2,1,850
6,1,3,2,1,1000
0,1,4,1,1,600
4,1,1,0,0,600
1,2,2,0,1,500
6,1,3,0,1,400
6,1,2,0,1,350
6,1,2,1,1,450
7,1,2,1,1,750
3,1,3,2,1,1000
1,3,4,1,2,1395
8,1,3,3,1,1350
9,2,3,1,2,990
1,1,3,1,2,950
1,0,1,0,0,500
10,7,1,0,2,980
11,1,1,0,0,1500
10,2,4,1,1,900
12,2,3,2,1,1000
12,2,3,2,1,1000
12,3,4,4,1,1500
1,1,3,3,1,2000
1,3,3,0,2,1000
0,1,1,2,0,1500
6,1,2,1,2,900
